Judul,Label
Prabowo & PM Malaysia Sepakat Kelola Bersama Harta Karun Migas di Ambalat,0
KAI Lanjutkan Uji Coba Percepatan Perjalanan Commuter Line Basoetta,0
Gajian Cuma Numpang Lewat? Yuk Terapkan Metode Budgeting 50:30:20,1
"Turun Gunung, Kim Jong Un Bangun Bisnis Pariwisata Korut",1
"Mulai Rangkulan, AS Kini Bisa Nikmati Harta Karun China",1
Berapa Lama Utang Pinjol Bisa Hilang dari Catatan Kredit?,1
"Atasi Kendala Transaksi, DANA Buka Posko Keliling Offline & Online",0
"Imbas Tarif Trump, Produksi Kendaraan di Inggris Anjlok",0
"Video idEA ke Pemerintah: Tolong Perhatikan, E-Commerce Masih Penuh Tekanan",0
Prabowo dan Anwar Ibrahim Sepakat Percepat Kerja Sama Ekonomi,0
Krisis Beras di Jepang Mulai Mereda,0
Koperasi Merah Putih Disiapkan Jadi Gerai Sembako Modern,0
"BSI Gelar International Expo 2025, Dorong Pertumbuhan Ekosistem Halal RI",0
Eks Stafsus Sri Mulyani Bicara soal Pajak Pedagang di Toko Online,0
Gaji Kepala Desa Tertinggi Ada di Provinsi Ini!,1
"Video Pajak 0,5% E-Commerce, idEA: Tak Berat, Tapi Mekanismenya Harus Jelas",0
"PM Malaysia Tiba di Istana Negara, Disambut Airlangga hingga Rosan",0
Koperasi Merah Putih Bisa Jadi Dapur-Pemasok Makan Bergizi Gratis,0
"PLTP 55 MW di Lampung Diresmikan Prabowo, Serap 249 Tenaga Kerja",0
"Israel-Iran 'Damai', Harga Minyak Dunia Turun",0
Begini Syarat Dapat Diskon Tarif Tol 20% Selama Long Weekend,1
"Rugikan Konsumen Rp 99 T Per Tahun, Pengusaha Beras Curang Bakal Ditindak",0
Tips Mengatur Gaji Bulanan Agar Bisa Nabung dan Liburan,1
Turun Lagi! Harga Emas Hari Ini Anjlok Jadi Segini,1
Prabowo Resmikan Peningkatan Produksi 30 Ribu Barel Minyak di Blok Cepu,0
"Operasi ODOL, 75 Truk Obesitas di Lima Ruas Tol Ditindak",0
RI Gandeng Perusahaan Turki Kembangkan Komunikasi Satelit,0
"Kementan Endus Kecurangan Beras, Rugikan Konsumen Rp 99,35 T Per Tahun",0
"PLTP Pertamina di Lampung Diresmikan Prabowo, Kapasitas 55 MW",0
Buka Alfamart Butuh Duit Berapa? Simulasi Modal & Keuntungannya,1
Produk Halal RI Bakal Digeber buat Ekspor,0
"RI Punya Proyek Pembangkit Energi Terbarukan di 15 Provinsi, Nilainya Rp 25 T",0
Madu Buatan UMKM RI Tembus Ekspor,0
Naik-Turun Penumpang di Stasiun Tanah Abang Berubah Mulai 29 Juni,0
"Pinjol Ilegal Vs Legal, Ini Ciri dan Cara Mengenalinya",1
Alasan Anggaran Makan Bergizi Gratis Ditambah Jadi Rp 121 T,0
Komentar Tajam Netizen ke Sri Mulyani Terkait Pedagang di Toko Online Dipajaki,1
"Perusahaan Merry Riana Mau IPO, 'Bekingnya' Konglomerat Kakap",1
Daftar Tol Jasa Marga Diskon Tarif 20% Mulai Hari Ini,1
"Cara Dapat Rp 15 Juta dari BPJS Ketenagakerjaan, Ini Syaratnya",1
Jutaan Pedagang di Tokopedia-Shopee Bakal Kena Pajak,1
"Apindo Dukung Rencana Pemungutan Pajak 0,5% untuk Penjual di e-Commerce",0
"Negosiasi Tarif Masih Jalan, Airlangga Sebut AS Tak Banyak Permintaan",0
"Menhub Ungkap Dampak Buruk Truk ODOL: Bikin Rugi Rp 43,4 Triliun-Kecelakaan",1
"Persiapan Akhir Stasiun Tanah Abang Baru, Siap Sambut Pengalihan Penumpang",0
Pendapatan Toko Kopi Ini Tembus Rp 1 Triliun,1
Terungkap Alasan Pengusaha Masih Operasikan Truk ODOL,1
Wamen ESDM Ungkap Pabrik Bioetanol Bojonegoro Sudah Dapat Jatah Gas,0
"Menhub Respons Demo Tolak Zero ODOL, Sebut Pengusaha Minta Insentif",0
Potret BSI International Expo 2025 Ramai Dikunjungi Warga,0
Ada Diskon Tarif buat Jalan Tol Ini Selama Momen Libur Sekolah,1
"Aturan soal Taksi Terbang Lagi Digodok, Ini Bocorannya",1
OJK soal BSI Spin Off dari Bank Mandiri: Sedang Proses,0
"Barang Sitaan Ditjen Pajak Jakarta Dilelang, Rp 840 Juta Masuk Kas Negara",0
"Gelar International Expo 2025, BSI Targetkan Transaksi Rp 2,4 T",0
"Danantara Bakal Suntik PGE Rp 1,95 T buat Pengembangan Panas Bumi",0
Bahlil Pede Target Lifting Migas di APBN Bisa Tercapai!,1
Pesan Prabowo buat Pejabat Pemerintah-BUMN: Beri yang Terbaik buat Rakyat!,1
Dirut BSI: Ekonomi Syariah Harus Jadi Arus Utama Ekonomi Nasional,0
"Long Weekend, Ini Skema Layanan Perbankan BRI",1
"Revisi Permendag soal Impor Rampung, Bakal Diumumkan Pekan Depan",0
Ternyata Cita-cita Berantas Truk ODOL Mandek 16 Tahun!,1
"Pembangunan Stasiun Tanah Abang Baru Telan Rp 338 M, Bakal Lanjut Tahap II",0
"KFC Berdarah-darah, Tercekik Rugi Sampai Harus Dibantu 2 'Raksasa'",1
Bos BGN Jelaskan Skema Makan Bergizi Gratis Selama Libur Sekolah,0
Kenapa Tagihan Pinjol Terus Bertambah? Ini Penyebabnya,1
Satgas PHK Bakal Meluncur Bulan Depan,0
Zulhas Buka Suara soal Anggaran Makan Bergizi Gratis Jadi Rp 121 T,0
"Pedagang di Tokopedia-Shopee Mau Kena Pajak, Harga Barang Bakal Naik",1
"Saham Lagi Murah, Emiten Ini Buyback Rp 20 M dan Guyur Dividen",1
Video: Prabowo Targetkan Seluruh Desa di RI Teraliri Listrik pada 2029,0
"Pedagang Online di e-Commerce Bakal Kena Pajak, Mendag Jawab Begini",1
Bahlil Sebut Investasi Blok Cepu Beri Pedapatan Negara 8 Kali Lipat dari Modal,0
"Belum Setahun, Dua Direksi MDTV Kompak Mundur di Hari yang Sama",1
Anggaran Makan Bergizi Gratis Ditambah Jadi Rp 121 Triliun!,1
"Waspada Lewati Perlintasan Saat Libur Panjang, KAI Properti Beberkan Aturannya",0
DANA Bisnis Bantu Odysen Barbershop Rapi Kelola Transaksi & Ekspansi,0
Simak! Ada Perubahan Naik-Turun Penumpang di Stasiun Tanah Abang Mulai 29 Juni,1
Mendag Optimistis Perang Israel Vs Iran Tak Pengaruh ke Ekspor RI,0
"Surplus Neraca Dagang RI Terendah dalam 60 Bulan, Mendag Ungkap Penyebabnya",1
"Jualan di Tokopedia-Shopee Bakal Kena Pajak, Jutaan Pedagang Kena Dampak",1
Video: Prabowo Minta Maaf Tak Resmikan Langsung Pembangkit Listrik di Jatim,0
Asosiasi e-Commerce Minta Pajak Pedagang Toko Online Bertahap,0
"Gudang Garam Goyang, Harta Bos Rokok Raib Rp 100 Triliun!",1
"Awalnya Cuma Iseng Bikin Anting, Wanita Ini Raup Puluhan Juta Per Bulan",1
"Jarang Tersorot, Ini Sosok Keluarga di Balik Taman Safari Indonesia",1
"Utamakan Keamanan, Pertamina Evakuasi 7 Pekerja dari Irak",0
Prabowo Mau Genjot Energi Surya buat Terangi Desa-desa di RI,0
"Long Weekend, Besok Tarif Tol Diskon 20%",0
Prabowo Yakin RI Bisa Bertahan di Tengah Krisis Pangan Dunia,0
"Bukan Hanya SLIK, Ini Faktor Lain dalam Penilaian KPR Perbankan",1
"Perdagangan RI-Australia Tekor, Kemendag Genjot Lewat Ekspor Produk Halal",0
"Mentan Ungkap Anomali Harga Beras Naik, Singgung Kerugian Tembus Rp 99 T",1
"Ada Konglomerat Kakap di Balik IPO Perusahaan Merry Riana, Ini Sosoknya",1
Pengusaha Tekstil Bicara Impor Benang Filamen Bebas Bea Masuk Antidumping,0
"Prabowo Ngobrol Bareng Bos ExxonMobil, Janji Bakal Datang ke Blok Cepu",0
Kenapa DJP Minta e-Commerce Pungut Pajak Penjual? Ini Alasannya,1
RI Butuh Sistem Resi Gudang yang Transparan buat Bisnis Logistik,0
Pemerintah Mau Geber Sektor Pariwisata buat Genjot Ekonomi,0
Ekspor Makanan dan Minuman RI Tembus Rp 680 Triliun,0
Gangguan Cuaca Bikin Prabowo Absen ke Peresmian PLTP Ijen-Produksi Migas Cepu,0
Prabowo Resmikan Puluhan Pembangkit Energi Terbarukan di 15 Provinsi,0
Prabowo Resmikan Tambahan Produksi Minyak di Blok Cepu 30 Ribu BOPD,0
"Pedagang di Toko Online Bakal Dipajaki, DJP: Bukan Pajak Baru",0
"Karyawan Swasta Bisa Dapat Dana Pensiun Juga, Ini Caranya",1
"Potret Selat Hormuz, Titik Rawan Jalur Minyak Dunia",1
"Permendag 15/2025 Terbit, Tingkatkan Perlindungan Konsumen-Mutu Produk",0
"Mendag Terbitkan Permendag 14/2025, Atur Promosi Dagang-Penguatan Citra RI",0
Grup Djarum Borong Saham RS Hermina Rp 1 Triliun!,1
"Pedagang di Toko Online Mau Dipajaki, Instagram Sri Mulyani Diserbu Warganet",1
"Ingat! Besok Diskon Tarif Tol Berlaku Lagi, Ini Ruasnya",1
"Erick Ungkap Rencana Pembangunan KEK Kesehatan Baru, Ini Bocorannya",1
"Prabowo Resmikan Bali International Hospital, Hadirkan Fasilitas Kelas Dunia",0
Ekspor Produk Pulp & Paper RI Tembus Rp 131 Triliun,0
Quraish Shihab dan 2 Dewan Syariah Mundur Serentak dari CIMB Niaga,0
Krakatau Steel Tunjuk Hendro Martowardojo Jadi Komisaris Utama,0
Dampak Positif dan Negatif Kehadiran Investor China di RI,0
"Perusahaan Sepatu Bata Merugi, Kini Ditinggalkan Presiden Komisarisnya",1
Mau Buka Usaha Makanan tapi Modal Minim? Ini Solusinya,1
Dirjen Pajak Baru Ingatkan Pegawai DJP Tolak & Laporkan Gratifikasi,0
"Keponakan Luhut Jadi Komisaris Perusahaan Raam Punjabi, Ario Bayu Dirut",1
Rp 150 T Melayang Gara-gara Warga RI Berobat ke Luar Negeri,1
IHSG Pagi Ini Dibuka Turun ke Level 6.826,0
Harga Emas Antam Hari Ini Turun! Jadi Segini Per Gram,1
Dolar AS Pagi Ini Melemah ke Rp 16.282,0
Anggaran Jumbo yang Dikucurkan Israel buat Serang Iran,1
Taksi Terbang Uji Coba di Langit PIK 2,1
Shell Bantah Isu Bakal Caplok BP,0
"Mulai 1 Juli, Kopdes Merah Putih Bisa Ajukan Pinjaman Modal",0
"Thailand Bakal Cabut Legalitas Ganja, Industri Rp 16,2 T Terancam",1
Daftar Tunjangan ASN Terbaru yang Berlaku Tahun Ini,1
"Penjual di E-commerce Terancam Kena Pajak 0,5 Persen",1
"Fenomena Lulusan Sarjana Jadi Sopir hingga ART, Ada Apa?",1
Dedi Mulyadi Buka Suara soal Aksi Premanisme Proyek di Jabar,0
"Bahlil Bentuk Ditjen Gakkum, Pejabatnya Eks Jaksa-Polisi",0
Penjelasan DJP soal Pedagang di Toko Online Bakal Dipajaki,0
Bansos Dicabut Mendadak? Ini Penyebab dan Solusinya,1
Siap-siap! Pedagang di Shopee-Tokopedia Bakal Kena Pajak,1
Tawaran Bapak Asuh Mengalir buat Kopdes Merah Putih,1
Bea Cukai Musnahkan 64 Juta Rokok dan MMEA Ilegal,0
"Didesak AS, NATO Akhirnya Dongkrak Belanja Militer Jadi 5% PDB",1
Koperasi Desa Merah Putih Ditargetkan Ciptakan 2 Juta Lapangan Kerja,0
Warga AS Cemas Kondisi Ekonomi Era Trump,1
"Ketua KPPU Ngobrol Bareng Luhut, Bahas Sinergi dengan Pemerintah",0
Proyek Fasilitas Uji Kendaraan Kelas Dunia di Bekasi Rampung,0
Video: Melihat Bandara Husein Sastranegara yang Kini Sepi Aktivitas,1
"Listrik dari Atas Air, PLTS Terapung Tambaklorok Hasilkan Energi Bersih",0
"Terobosan Baru Pegadaian, Emas Fisik Kini Bisa Langsung Jadi Tabungan Emas",1
"Bank Tanah-Kadin Jajaki Kerja Sama, Penyediaan Tanah Dijamin Clean & Clear",0
"Ada Ditjen Gakkum ESDM, Bahlil: Bisa Langsung Eksekusi Pelanggaran Tambang",1
"Bandara Husein Mau Dibuka Lagi, Pemkot Bandung Gerak Cepat",1
Singkong-Tapioka RI Nggak Laku di Negeri Sendiri Gegara Banjir Impor,1
Emiten Kesehatan Ini Sebar Dividen Rp 137 M,0
"Resmikan KEK Kesehatan Sanur, Prabowo: Saya Berbahagia",0
Shopee Bantu Pengusaha Kecil Bertumbuh Lewat Program 'UMKM Paten',0
5 Industri Ini Paling Terpukul Jika Selat Hormuz Ditutup Iran,1
BPKH Didorong Punya Bandara dan Hotel Khusus Jemaah Haji,0
"Iran 'Usir' Badan Nuklir PBB, Tuding Tak Kredibel!",1
Produk Baja RI Siap Hadapi Aturan Karbon Uni Eropa,0
"Samator Teken MoU dengan Asosiasi Gas di China, Dorong Energi Berkelanjutan",0
LRT Jabodebek Uji Coba Layanan Penitipan Barang di Stasiun Halim,0
IHSG Ditutup Melemah ke Level 6.832,0
"Warga di Pulau Enggano 'Terisolasi', Trenggono Buka Suara",1
Top Up Tabungan Emas Jadi Makin Praktis dengan Layanan Setor Fisik Emas,1
Kinerja Manufaktur RI Bisa Jeblok Jika Selat Hormuz Ditutup,1
Petani Singkong-Produsen Tapioka Teriak Gegara Banjir Impor,1
RI Kehilangan Rp 150 T/Tahun Gegara Banyak Orang Berobat ke Luar Negeri,1
"Ditarget Rampung Bulan Depan, Pembangunan Sekolah Rakyat Tahap I Tembus 61,78%",0
"Trump Mendadak Sebut China Boleh Terus Beli Minyak Iran, Ada Apa?",1
"Dedi Mulyadi soal Premanisme di Jabar: Dengar Proyek, Berarti Duit!",1
Rokok Ilegal Dinilai Bisa Makin Menjamur Gara-gara Ini,1
Emiten Sandiaga Uno Tebar Dividen Rp 200 M,0
"Ekspor Batik RI Capai Rp 123 M, Tembus Pasar Afrika Selatan-China",0
Pelindo Keruk Alur Pelayaran Pelabuhan Bengkulu,0
DJP Buka Suara soal Rencana Pajaki Pedagang di Toko Online,1
BEI Mau Buka Kode Domisili Investor Gegara Transaksi Saham Jeblok,1
Laporan Keuangan BI Dapat Opini WTP dari BPK,0
"Trenggono Sebut Ikan di Waduk Cirata Mengandung Merkuri, Tak Layak Dikonsumsi",1
"Perusahaan Ini Ekspor 6 Ribu Ton CPO ke India, Sumbang Rp 14 M ke Negara",1
DPR Sebut Langkah Danantara Suntik Modal ke Garuda Harus Dikawal,0
Laba Pertamina International Shipping Melesat Jadi Rp 9 T,1
"Trenggono Tegaskan Tidak Ada Pulau yang Dijual, Mau Diawasi Pakai Satelit",0
Mitigasi Ekonomi RI di Masa Perang Iran-Israel,0
Dedi Mulyadi Sebut Revitalisasi Tambak Pantura Bisa Kerek Ekonomi Jabar,0
"Eks Jaksa-Polisi Jadi Pejabat Gakkum ESDM, Bahlil: Nanti Ada dari KPK & TNI",1
"Dapat Restu OJK, BEI Mau Buka Kode Domisili Investor",1
"Biaya Perang Besar, Israel Dikepung 39.000 Klaim Ganti Rugi",1
"Ada Pendangkalan Alur, Transportasi Laut Pulau Enggano Tetap Jalan",0
Apakah Pinjol Bisa Melacak Keberadaan Nasabah?,1
BEI Mau Terapkan Layanan Transaksi Short Selling Mulai 26 September,0
Video: Pedagang di Shopee Cs Bakal Kena Pajak,1
Danantara Bakal Gelontorkan Rp 26 T buat Revitalisasi 20 Ribu Ha Tambak,1
PHE ONWJ Lepas Anjungan Baru ke Pesisir Laut Jawa buat Genjot Produksi Migas,1
Pengusaha Ingatkan Lonjakan Harga Minyak Bisa Picu Kenaikan Biaya Logistik,0
BEI Cetak Laba Bersih Rp 673 M,0
Apakah Data Pinjol Bisa Dihapus?,1
Kopdes Merah Putih Bisa Ajukan Pinjaman Modal Mulai 1 Juli,0
Sepanjang 2024 Gangguan Listrik Turun 24%,0
KKP-Pemprov Jabar Bakal Revitalisasi 20 Ha Tambak di Pantura,0
PHE ONWJ Lepas Anjungan Baru Ramah Lingkungan ke Pesisir Laut Jawa,0
Bank BUMN Kasih Pelatihan buat Pengurus Kopdes Merah Putih,0
"Selat Hormuz, Nuklir, dan Eskalasi Krisis",1
Video Bahlil: Keuntungan Hilirisasi Baru Dinikmati Investor-Pemerintah,1
Pemerintah Diminta Lakukan Ini buat Ketahanan Energi & Kurangi Impor BBM,1
"Bahlil Lantik Eks Jaksa Jeffri Huwae Jadi Dirjen Gakkum ESDM, Ini Profilnya",1
Apa Risiko Tak Bayar Pinjol?,1
Banda Aceh-Pidie Bakal Tersambung Tol Tahun Ini!,1
"Toko Online Bakal Kena Pajak, Jutaan Pedagang Kena Dampak",1
Transaksi di Pegadaian Digital Bisa Dapatkan 1 Kg Emas,1
Anggota Holding BUMN Jamin Asuransi Pengelola Parkir,0
Pedagang di Toko Online Bakal Dipajaki!,1
"Ada Kabar Toko Online Mau Kena Pajak, Asosiasi E-Commerce Buka Suara",1
Segini Biaya yang Dikeluarkan Israel buat Serang Iran,1
Video: Danantara Tertarik Kerja Sama dengan Korsel di Bidang Film dan K-Pop,1
"Anak Usaha Krakatau Steel Targetkan Penjualan Rp 4,1 T",0
"Sebut RI Produsen Kopi Terbesar ke-4 Dunia, Gibran Minta Jaga Kualitas",0
"Sri Mulyani Bertemu Menkeu Arab Saudi-Qatar, Bahas Dampak Perang Israel vs Iran",0
"Perusahaan Merry Riana Mau IPO, Incar Dana Segar Rp 39,9 M",0
Dolar AS Loyo saat Iran-Israel Gencatan Senjata,1
"Konflik Timur Tengah Mulai Reda, IHSG Tancap Gas",1
"Konflik Iran-Israel Reda, Pasar Saham AS Bangkit",0
"Update Harga Emas Antam 24 Karat Hari Ini, Rabu 25 Juni 2025",0
"Alasan Danantara Suntik Garuda Modal Rp 6,6 T",1
"PLN Setor Rp 65 T ke Negara, Layanan Listrik 2024 Dinilai Baik",0
"Iran-Israel Gencatan Senjata, Harga Minyak Langsung Anjlok 6%",0
Bocoran Rencana Investasi Apple di Batam,1
Mengintip Kandang B-2 Bomber Penghancur Fasilitas Nuklir Iran,1
"Dilarang Keras Menambang di Pulau Kecil, Ini Aturannya!",1
Negara Rugi Puluhan Triliun Gara-gara Truk ODOL,1
Ironi Sarjana RI! Kuliah Bertahun-tahun Berujung Jadi ART-Sopir,1
Teka-teki Keberadaan 400 Kg Uranium Iran Usai Fasilitas Nuklir Dibom AS,1
"BSU Rp 600 Ribu Sudah Cair ke 2,45 Juta Pekerja, Dijamin Tak Ada Potongan!",1
Danantara Tertarik Gandeng Korsel Masuk Bisnis Film hingga K-Pop,1
Panen Jagung Masih Jauh dari Target Bikin Industri Pakan Ketar-Ketir,1
Garuda Bakal Operasikan 120 Pesawat,0
Cuaca Buruk Bikin Harga Ikan Tuna Naik di Banda Aceh,0
Misteri 400 Kg Uranium Iran Usai AS Serang Fasilitas Nuklir,1
Bahlil Kirim Tim ke Angola dan AS Pelajari Pembangunan Kilang 1 Juta Barel,0
"Produksi Beras RI Diramal Bisa Tembus 35,6 Juta Ton!",1
"Konflik AS Vs Iran Bisa Guncang Dunia, Bos IMF Kasih Peringatan Ngeri!",1
"1,24 Juta Pekerja Belum Dapat BSU Rp 600 Ribu Tahap 1, Ini Alasannya",1
Arahan Prabowo ke PBNU soal Bantu Makan Bergizi Gratis,0
"5 Ruang Udara Ditutup Imbas Perang Iran-Israel, Maskapai Diminta Cari Rute Lain",0
Tekstil hingga Produk Kulit RI Jadi Incaran Banyak Negara,0
"Video: Dirut BPJS Kesehatan Bicara 7,3 Juta PBI JK Yang Dinonaktifkan",0
Berani Jual Alat Mesin Pertanian dari Pemerintah Bisa Kena Pidana!,1
Deretan Kisah Haru Konsumen MR DIY Temukan Harapan dari Barang Sederhana,1
"Iran-Israel Perang, Garuda Tutup Rute ke Timur Tengah",0
Pemerintah Mau Geber Produksi Bawang Putih buat Pangkas Impor,0
Bos BP Batam Buka-bukaan Rencana Investasi Apple,1
"IHSG Ditutup Naik ke Level 6.869, Menguat 1,21%",0
Rosan Tempatkan Pejabat Kementerian di BP Batam buat Kebut Investasi,0
Duh! Musim Liburan Makin Sering Layang-layang Ganggu Kereta Cepat,1
Perbedaan Wajah Orang Kaya dan Miskin Berdasarkan Riset,1
"Garuda Dapat Suntikan Modal Rp 6,6 Triliun, buat Apa Saja?",1
"Pembangunan Kilang Tuban Mandek, Bahlil Ungkap Biang Keroknya",1
Rosan Bicara soal Dampak Perang Iran Vs Israel ke Investasi RI,0
Kemendag Awasi Distribusi MINYAKITA di Wilayah Indonesia Timur,0
Prabowo Groundbreaking Proyek Baterai Mobil Listrik CATL 29 Juni,0
"Penyaluran KUR 2025 Rp 118,8 T, 39% dari Target",0
"Emiten Alat Pertanian Sebar Dividen Rp 52,9 Miliar",0
"Danantara Suntik Garuda Modal Rp 6,6 Triliun",0
Kapan Satgas PHK Dibentuk? Menaker: Masih Koordinasi dengan Setneg,1
Cara Buka Rekening Bank Himbara untuk Terima BSU Rp 600 Ribu,1
"Truk ODOL Bikin Negara Rugi Rp 43,47 Triliun Per Tahun",0
DPR Soroti Ketegangan Israel & Iran Bisa Ganggu Distribusi Energi Global,0
Jurus Bos Badan Gizi Cegah Penyelewengan Dana Makan Bergizi Gratis,1
Bahlil Ungkap Oleh-oleh Prabowo dari Rusia: Migas hingga Nuklir,1
"Pelaku Usaha Diimbau Mulai Adopsi Aset Digital, Ini Alasannya",1
"2,4 Juta Pekerja Sudah Terima BSU Rp 600 Ribu, Cek Namamu di Sini!",1
"Melonjak, Penjualan Listrik PLN IP Capai 83.000 GWh",0
"Harga Minyak Dikhawatirkan Naik Lagi, Bahlil: Berdoa Saja Supaya Stabil",1
Aksi Cosplayer Tolak Energi Batu Bara di Kedubes Jepang,0
"RI Seret Lowongan Kerja, Pengangguran Disarankan Pindah ke Luar Negeri",1
KKP: Pulau Kecil Tak Boleh Ditambang!,1
Tanggapan Anggota DPRD soal Perubahan Nama Bank DKI,0
BRI Beri Dukungan Pembiayaan ke Koperasi Penyuplai Bahan Pangan MBG,0
"Sopir Truk Demo soal ODOL, Petani-Peternak Kena Getahnya",1
"Berani Tutup Selat Hormuz, Iran Bakal Jadi Musuh Bersama Banyak Negara",1
"Perang Iran Vs Israel Makin Panas Gegara AS Terlibat, Impor Pangan Terganggu?",1
Potret Kehancuran Akibat Perang Israel Vs Iran yang Kini Gencatan Senjata,1
"Bahlil Mau Rapat dengan Pertamina, Bahas Antisipasi Jika Selat Hormuz Ditutup",0
Simak! Ini Ramalan Terbaru Bank Dunia soal Ekonomi RI,1
KCI Pastikan 11 KRL Baru Bakal Beroperasi Tahun Ini,0
"Perang Iran Vs Israel Makin Panas, UMKM RI Kena Dampak?",1
Bukan Lagi soal Gelar! Ini yang Benar-benar Dicari HRD saat Rekrutmen,1
"Pasar Tenaga Kerja RI Tak Seimbang: Banjir Sarjana, Lowongan Kerja Seret!",1
"Heboh Pulau Anambas Dijual, KKP: Itu Bukan Jual-Beli, tapi Investasi",1
Sekarang Naik Kereta Bandara Bayarnya Bisa Sekali Tap Pakai Kartu Ini,1
Belanja Negara Belum Optimal Serap Produk UMKM,0
"Gandeng Bank Dunia, KKP Cari Dana Rp 3,2 T buat Konservasi Laut",0
Prabowo Perintahkan Bulog Serap 1 Juta Ton Jagung Cadangan Pemerintah,0
"Batang Sawit Tua Disulap Jadi Nira Gula, Potensi Pasar Tembus Rp 3 T",1
"Iran-Israel Saling Serang, Menaker Waspadai Dampaknya ke Tenaga Kerja",0
ESDM Masih Kaji Pengembalian Izin Tambang Galian C ke Pusat,0
Bos Bapanas Turun Gunung Cek Makanan di Dapur MBG Bogor,1
"Susah Dapat Kerja, Banyak Sarjana Akhirnya Jadi ART hingga Sopir",1
"Prabowo Bentuk Satgas Kopdes Merah Putih, Zulhas Jadi Ketua",0
Puan Puji Prabowo soal Polemik Tambang Raja Ampat,0
"Menaker Pastikan Tak Ada Potongan BSU, Pekerja Terima Rp 600 Ribu",0
PIS Siapkan Rute Alternatif Angkut Migas Jika Selat Hormuz Ditutup,0
"Cek Rekening! BSU Rp 600 Ribu Sudah Cair ke 2,45 Juta Pekerja",1
"Harga Minyak Anjlok Usai Iran Serang Pangkalan AS, Begini Penjelasannya",1
Penjualan BBM Pertamina Capai 105 Juta Kilo Liter di 2024,0
Leonard Hartono Resmi Bergabung ke Digital Marketing Agency rankpillar,0
"Gibran Tinjau Panen Tebu Banyuwangi, Dorong Swasembada Gula",0
Dolar AS Rontok Usai Trump Sebut Iran-Israel Gencatan Senjata,1
Harga Emas Antam Hari Ini Ambruk,1
"Trump Sebut Iran-Israel Sepakat Gencatan Senjata, IHSG Langsung Meroket",1
5 Biang Kerok Harga Ayam Anjlok,1
"Trump Panik Selat Hormuz Mau Ditutup Iran, Serukan Ngebor Minyak Gede-gedean",1
Harga Beras Naik di Ratusan Daerah,0
Parkiran Mal di Tel Aviv Jadi Tempat Berlindung Saat Rudal Iran Menghujani Israel,1
Peran Vital Selat Hormuz buat Distribusi Minyak yang Mau Ditutup Iran,0
Banyak Maskapai Batalkan Penerbangan Usai Iran Serang Balik Pangkalan AS,0
Sesepi Ini Pasar Taman Puring Jaksel Kini,1
Harga Minyak Anjlok Usai Iran Serang Pangkalan Militer AS,0
Pertamina NRE-LONGi Kerja Sama Luncurkan Manufaktur Modul Panel Surya,0
Pembangunan IKN Lanjut ke Tahap 2!,0
Sederet Dampak Buruk yang Bisa Terjadi Jika Iran Tutup Selat Hormuz,1
"KKP Tegaskan Tak Ada Penjualan Pulau RI, Hanya Bisa Dikelola Sementara",0
Dampak Mengerikan Perang Israel Vs Iran ke Ekonomi Dunia Usai AS Ikut Campur,1
Terungkap Nasib PT Gag Nikel di Raja Ampat,1
"Stok Beras Melimpah! Pemerintah Punya 4,15 Juta Ton di Gudang Bulog",0
Ekonomi AS Diprediksi Terguncang Imbas Ikut Campur Perang Israel Vs Iran,1
Video Pemprov DKI Serius untuk Bersihkan Monorel,0
"Iran Berencana Tutup Selat Hormuz, ESDM: Sedang Kita Kalkulasi",0
Pasokan Telur & Cabai ke Jakarta-Jabar Terancam Seret!,1
"3 Perusahaan Jumbo Bakal IPO, Salah Satunya Emiten Prajogo Pangestu",0
